sex,avebooks,readprint,readaudio,readebook
Male,3,1,0,0
Female,60,1,0,1
Female,2,1,0,0
Female,1,1,0,1
Female,97,1,0,1
Female,6,1,0,1
Female,11,3,0,2
Female,80,1,1,1
Male,25,1,0,0
Male,5,1,0,0
Male,2,1,0,0
Male,2,1,0,0
Male,30,1,1,1
Female,25,1,0,0
Male,3,1,1,0
Male,50,1,0,0
Male,10,1,1,0
Male,8,1,0,0
Male,17,1,0,0
Male,30,0,1,0
Male,30,1,0,1
Female,14,1,0,0
Female,5,1,0,0
Female,20,1,0,0
Female,20,1,1,1
Male,25,1,1,0
Male,5,1,1,0
Female,50,1,0,1
Male,30,1,0,0
Male,2,1,0,0
Male,1,0,0,0
Male,12,1,0,0
Male,25,1,0,0
Male,1,1,0,0
Female,4,1,0,1
Female,2,1,1,0
Male,3,1,0,1
Male,15,1,0,0
Female,97,1,1,1
Male,4,1,0,0
Female,30,1,0,0
Male,15,1,0,1
Female,4,0,0,0
Female,4,1,0,0
Male,5,1,0,0
Female,3,1,1,1
Female,6,1,0,0
Male,2,1,0,0
Female,2,1,0,1
Male,4,1,0,0
Female,30,1,0,0
Male,5,1,0,0
Male,3,1,0,0
Female,97,1,0,1
Female,8,1,0,0
Female,50,1,0,0
Female,25,1,0,0
Male,6,2,0,0
Male,3,1,0,0
Female,18,6,0,1
Male,21,5,1,0
Female,34,4,0,1
Female,22,4,0,2
Male,2,1,0,0
Female,2,2,0,1
Male,19,6,0,2
Female,15,2,0,1
Female,19,2,1,0
Male,5,3,1,0
Female,31,5,1,1
Male,4,1,0,0
Female,25,1,0,0
Female,24,1,0,0
Female,35,4,0,1
Male,3,1,1,0
Female,70,1,0,0
Female,17,1,0,1
Male,4,1,0,1
Female,6,1,0,0
Male,3,2,0,1
Male,6,4,0,0
Female,3,1,0,0
Female,0,1,0,0
Female,1,1,1,1
Female,12,2,1,1
Male,1,1,0,0
Female,73,2,0,0
Female,66,3,2,1
Female,35,1,0,0
Male,35,2,0,1
Female,21,6,1,1
Male,12,1,0,0
Female,19,4,3,3
Male,4,2,0,0
Female,46,3,0,0
Male,20,8,1,5
Female,47,5,1,2
